Facility Number,School Type,Facility Name,Facility Address,County,Tdap/Td,Meningococcal,Hepatitis A,Hepatitis B,MMR,Polio,Varicella
9057816000,Public ISD,A W BROWN LEADERSHIP ACADEMY,"5701 RED BIRD CTR DR, DALLAS, TX, .",Dallas,69.5652173913043%,69.5652173913043%,97.8260869565217%,91.3043478260869%,93.4782608695652%,91.3043478260869%,93.4782608695652%
9057829000,Public ISD,A+ ACADEMY,"8225 BRUTON RD, DALLAS, TX, .",Dallas,97.65625%,97.65625%,97.65625%,98.4375%,98.4375%,98.4375%,98.4375%
9101871000,Public ISD,A+ UNLIMITED POTENTIAL,"2410 HAMILTON, HOUSTON, TX, .",Harris,86.7924528301887%,30.188679245283%,83.0188679245283%,86.7924528301887%,83.0188679245283%,75.4716981132076%,83.0188679245283%
9109901000,Public ISD,ABBOTT ISD,"P O BOX 226, ABBOTT, TX, .",Hill,91.3043478260869%,95.6521739130435%,91.3043478260869%,91.3043478260869%,91.3043478260869%,91.3043478260869%,91.3043478260869%
9095901000,Public ISD,ABERNATHY ISD,"505 7TH ST, ABERNATHY, TX, .",Hale,92.3076923076923%,92.3076923076923%,100%,100%,100%,100%,100%
9221901000,Public ISD,ABILENE ISD,"P O BOX 981, ABILENE, TX, .",Taylor,97.8199052132702%,98.2938388625592%,97.5355450236967%,99.0521327014218%,100%,98.3886255924171%,98.3886255924171%
9014901000,Public ISD,ACADEMY ISD,"704 E MAIN ST, LITTLE RIVER, TX, .",Bell,97.7611940298508%,98.5074626865672%,97.7611940298508%,97.7611940298508%,98.5074626865672%,97.7611940298508%,98.5074626865672%
9101810000,Public ISD,ACADEMY OF ACCELERATED LEARNING INC,"5300 BRAESWOOD #8, HOUSTON, TX, .",Harris,68%,69.3333333333333%,93.3333333333333%,96%,90.6666666666667%,89.3333333333333%,90.6666666666667%
9220821000,Public ISD,ACADEMY OF VISUAL AND PERFORMING ARTS,"4200 S FWY STE 1940, FORT WORTH, TX, .",Tarrant,95.2380952380952%,97.6190476190476%,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%
9101849000,Public ISD,ACCELERATED INTERMEDIATE ACADEMY,"P O BOX 20589, HOUSTON, TX, 77478",Harris,88.2352941176471%,88.2352941176471%,100%,100%,100%,100%,100%
7227105001,Private School,ACE Academy,"3901 Shoal Creek Blvd, Austin, TX, .",Travis,100%,88.8888888888889%,100%,100%,100%,100%,88.8888888888889%
9180903000,Public ISD,ADRIAN ISD,"P O BOX 189, ADRIAN, TX, .",Oldham,100%,100%,100%,100%,100%,100%,100%
9057806000,Public ISD,ADVANTAGE ACADEMY,"618 W WHEATLAND RD, DUNCANVILLE, TX, .",Dallas,96.969696969697%,97.979797979798%,95.959595959596%,96.969696969697%,97.979797979798%,96.969696969697%,96.969696969697%
7227109001,Private School,AESA Prep Academy,"14101 Canonade, Austin, TX, .",Travis,66.6666666666667%,66.6666666666667%,66.6666666666667%,66.6666666666667%,66.6666666666667%,66.6666666666667%,66.6666666666667%
9178901000,Public ISD,AGUA DULCE ISD,"P O BOX 250, AGUA DULCE, TX, .",Nueces,100%,100%,100%,100%,100%,100%,100%
9015901000,Public ISD,ALAMO HEIGHTS ISD,"7101 BROADWAY ST, SAN ANTONIO, TX, .",Bexar,98.6187845303867%,98.3425414364641%,98.3425414364641%,98.3425414364641%,99.4475138121547%,99.1712707182321%,98.8950276243094%
9250906000,Public ISD,ALBA-GOLDEN ISD,"1373 CR 2377, ALBA, TX, .",Wood,97.0149253731343%,97.0149253731343%,98.5074626865672%,98.5074626865672%,98.5074626865672%,98.5074626865672%,98.5074626865672%
9184907000,Public ISD,ALEDO ISD,"1008 BAILEY RANCH RD, ALEDO, TX, .",Parker,95.2012383900929%,95.3560371517028%,97.0588235294118%,97.3684210526316%,96.9040247678019%,97.3684210526316%,95.3560371517028%
9125901000,Public ISD,ALICE ISD,"#2 COYOTE TRL, ALICE, TX, .",Jim Wells,97.239263803681%,97.239263803681%,97.239263803681%,97.239263803681%,98.7730061349693%,97.239263803681%,97.239263803681%
9101903000,Public ISD,ALIEF ISD,"P O BOX 68, ALIEF, TX, .",Harris,97.9682305134836%,50.1662356852604%,99.7783524196528%,90.579977835242%,93.9416328038419%,91.9098633173255%,95.7517547100111%
9101815000,Public ISD,ALIEF MONTESSORI COMMUNITY SCHOOL,"12013 6TH ST, HOUSTON, TX, .",Harris,100%,100%,100%,100%,100%,100%,100%
9043901000,Public ISD,ALLEN ISD,"P O BOX 13, ALLEN, TX, .",Collin,95.8511287370348%,95.7291031116534%,97.5594874923734%,97.6205003050641%,97.803538743136%,97.7425259304454%,97.5594874923734%
9022901000,Public ISD,ALPINE ISD,"704 W SUL ROSS AVE, ALPINE, TX, .",Brewster,85.2459016393443%,83.6065573770492%,90.1639344262295%,90.1639344262295%,90.1639344262295%,90.1639344262295%,90.1639344262295%
9037901000,Public ISD,ALTO ISD,"244 COUNTY RD 2429, ALTO, TX, .",Cherokee,100%,100%,97.5609756097561%,100%,100%,100%,97.5609756097561%
9126901000,Public ISD,ALVARADO ISD,"P O BOX 387, ALVARADO, TX, .",Johnson,94.5255474452555%,94.5255474452555%,97.8102189781022%,97.8102189781022%,97.8102189781022%,97.8102189781022%,97.4452554744525%
9020901000,Public ISD,ALVIN ISD,"301 E HOUSE ST, ALVIN, TX, .",Brazoria,97.8290366350068%,97.9194934418815%,98.869289914066%,99.366802351877%,99.366802351877%,99.2763455450023%,99.1406603346902%
9249901000,Public ISD,ALVORD ISD,"P O BOX 70, ALVORD, TX, .",Wise,95.3125%,92.1875%,98.4375%,96.875%,98.4375%,98.4375%,98.4375%
9188901000,Public ISD,AMARILLO ISD,"7200 I-40 W, AMARILLO, TX, .",Potter,97.5%,97.5909090909091%,97.8181818181818%,98.8181818181818%,98.7272727272727%,98.6363636363636%,98.3181818181818%
9140901000,Public ISD,AMHERST ISD,"P O BOX 248, AMHERST, TX, .",Lamb,100%,100%,100%,100%,100%,100%,100%
9101819000,Public ISD,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHT,"5503 EL CAMINO DEL REY, HOUSTON, TX, .",Harris,49.2307692307692%,80%,98.4615384615385%,100%,100%,96.9230769230769%,96.9230769230769%
9036901000,Public ISD,ANAHUAC ISD,"P O BOX 369, ANAHUAC, TX, .",Chambers,95.5752212389381%,96.4601769911504%,98.2300884955752%,98.2300884955752%,99.1150442477876%,99.1150442477876%,98.2300884955752%
9093901000,Public ISD,ANDERSON-SHIRO CISD,"458 FM 149 W, ANDERSON, TX, .",Grimes,97.5903614457831%,97.5903614457831%,98.7951807228916%,98.7951807228916%,98.7951807228916%,98.7951807228916%,98.7951807228916%
9002901000,Public ISD,ANDREWS ISD,"405 NW 3RD ST, ANDREWS, TX, .",Andrews,96.4856230031949%,97.1246006389776%,96.8051118210863%,98.0830670926518%,98.7220447284345%,98.0830670926518%,98.0830670926518%
9020902000,Public ISD,ANGLETON ISD,"1900 N DOWNING RD, ANGLETON, TX, .",Brazoria,96.1089494163424%,96.8871595330739%,96.6926070038911%,97.0817120622568%,97.4708171206226%,97.0817120622568%,97.0817120622568%
9043902000,Public ISD,ANNA ISD,"501 S SHERLEY AVE, ANNA, TX, .",Collin,96.2779156327543%,96.2779156327543%,96.029776674938%,96.2779156327543%,96.5260545905707%,96.5260545905707%,96.2779156327543%
9127901000,Public ISD,ANSON ISD,"1431 COMMERCIAL AVE, ANSON, TX, .",Jones,98.0392156862745%,98.0392156862745%,100%,100%,98.0392156862745%,98.0392156862745%,98.0392156862745%
9071906000,Public ISD,ANTHONY ISD,"840 SIXTH ST, ANTHONY, TX, .",El Paso,100%,100%,100%,100%,100%,100%,100%
9110901000,Public ISD,ANTON ISD,"P O BOX 309, ANTON, TX, .",Hockley,92.3076923076923%,100%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%
9228905000,Public ISD,APPLE SPRINGS ISD,"P O BOX 125, APPLE SPRINGS, TX, .",Trinity,100%,100%,100%,100%,100%,100%,100%
9109912000,Public ISD,AQUILLA ISD,"404 N RICHARDS, AQUILLA, TX, .",Hill,6.25%,9.375%,96.875%,96.875%,100%,96.875%,96.875%
9005901000,Public ISD,ARCHER CITY ISD,"P O BOX 926, ARCHER CITY, TX, .",Archer,88.2352941176471%,88.2352941176471%,94.1176470588235%,94.1176470588235%,94.1176470588235%,94.1176470588235%,94.1176470588235%
9061910000,Public ISD,ARGYLE ISD,"800 EAGLE DR, ARGYLE, TX, .",Denton,87.793427230047%,87.5586854460094%,93.1924882629108%,92.9577464788732%,92.9577464788732%,93.1924882629108%,92.9577464788732%
9101803000,Public ISD,ARISTOI CLASSICAL ACADEMY,"5610 MORTON RD, KATY, TX, .",Harris,85.9504132231405%,86.7768595041322%,91.7355371900826%,91.7355371900826%,90.9090909090909%,92.5619834710744%,91.7355371900826%
